id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
6758,"Dittborn, Eugenio",Male,born 1943,1943,,"Santiago, Chile",,http://www.tate.org.uk/art/artists/eugenio-dittborn-6758
1013,"Dixon, Harry",Male,1861–1942,1861,1942,"Watford, United Kingdom","Finchley, United Kingdom",http://www.tate.org.uk/art/artists/harry-dixon-1013
151,"Dixon, William",Male,?1784 or 5–c.1834,1784,1834,,,http://www.tate.org.uk/art/artists/william-dixon-151
1014,"Dobson, Frank",Male,1888–1963,1888,1963,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frank-dobson-1014
153,"Dobson, William",Male,1611–1646,1611,1646,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-dobson-153
152,"Dobson, William Charles Thomas",Male,1817–1898,1817,1898,,,http://www.tate.org.uk/art/artists/william-charles-thomas-dobson-152
1015,"Dodd, Francis",Male,1874–1949,1874,1949,"Holyhead, United Kingdom","Blackheath, United Kingdom",http://www.tate.org.uk/art/artists/francis-dodd-1015
1016,"Dodgson, John",Male,1890–1969,1890,1969,"Murree, Pakistan",,http://www.tate.org.uk/art/artists/john-dodgson-1016
1017,"Doesburg, Theo van",Male,1883–1931,1883,1931,"Utrecht, Nederland","Davos, Schweiz",http://www.tate.org.uk/art/artists/theo-van-doesburg-1017
2732,"Doherty, Willie",Male,born 1959,1959,,"Derrybrien, Éire",,http://www.tate.org.uk/art/artists/willie-doherty-2732
2361,"Doig, Peter",Male,born 1959,1959,,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/peter-doig-2361
1018,"Domjan, Joseph",Male,1907–1992,1907,1992,Magyarország,,http://www.tate.org.uk/art/artists/joseph-domjan-1018
1019,"Donagh, Rita",Female,born 1939,1939,,"Wednesbury, United Kingdom",,http://www.tate.org.uk/art/artists/rita-donagh-1019
154,"Donaldson, Andrew Brown",Male,1840–1919,1840,1919,"London, United Kingdom",,http://www.tate.org.uk/art/artists/andrew-brown-donaldson-154
1020,"Donaldson, Antony",Male,born 1939,1939,,"Godalming, United Kingdom",,http://www.tate.org.uk/art/artists/antony-donaldson-1020
8143,"Donnelly, Trisha",Female,born 1974,1974,,"San Francisco, United States",,http://www.tate.org.uk/art/artists/trisha-donnelly-8143
1021,"Dorazio, Piero",Male,1927–2005,1927,2005,"Roma, Italia",,http://www.tate.org.uk/art/artists/piero-dorazio-1021
1022,"Dörflinger, Johannes",Male,born 1941,1941,,"Konstanz, Deutschland",,http://www.tate.org.uk/art/artists/johannes-dorflinger-1022
2589,"Doron, Itai",Male,born 1967,1967,,"Tel Aviv-Yafo, Yisra'el",,http://www.tate.org.uk/art/artists/itai-doron-2589
2208,"D'Orsay, Count Alfred",Male,1801–1852,1801,1852,,,http://www.tate.org.uk/art/artists/count-alfred-dorsay-2208
1023,"Dotremont, Christian",Male,1922–1979,1922,1979,België,,http://www.tate.org.uk/art/artists/christian-dotremont-1023
1024,"Dottori, Gerardo",Male,1884–1977,1884,1977,"Perugia, Italia","Perugia, Italia",http://www.tate.org.uk/art/artists/gerardo-dottori-1024
1025,"Doubleday, John",Male,born 1947,1947,,"Maldon, United Kingdom",,http://www.tate.org.uk/art/artists/john-doubleday-1025
155,"Doughty, William",Male,1757–1782,1757,1782,"York, United Kingdom","Lisboa, Portugal",http://www.tate.org.uk/art/artists/william-doughty-155
156,"Douglas, Edwin",Male,1848–1914,1848,1914,"Edinburgh, United Kingdom","Sussex, United Kingdom",http://www.tate.org.uk/art/artists/edwin-douglas-156
157,"Douglas, Sir William Fettes",Male,1822–1891,1822,1891,"Edinburgh, United Kingdom","Newburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-fettes-douglas-157
3038,"Douglas, Stan",Male,born 1960,1960,,"Vancouver, Canada",,http://www.tate.org.uk/art/artists/stan-douglas-3038
1026,"Dova, Gianni",Male,1925–1991,1925,1991,"Roma, Italia","Pisa, Italia",http://www.tate.org.uk/art/artists/gianni-dova-1026
158,"Downard, Ebenezer Newman",Male,active 1849–1889,1849,1889,"Brighton, United Kingdom",,http://www.tate.org.uk/art/artists/ebenezer-newman-downard-158
13086,"Downey, Juan",,1940–1993,1940,1993,,,http://www.tate.org.uk/art/artists/juan-downey-13086
159,"Downman, John",Male,1750–1824,1750,1824,"Ruabon, United Kingdom","Wrexham, United Kingdom",http://www.tate.org.uk/art/artists/john-downman-159
1027,"Downsbrough, Peter",Male,born 1940,1940,,"New York, United States",,http://www.tate.org.uk/art/artists/peter-downsbrough-1027
2350,"Downton, John",Male,1906–1991,1906,1991,"Kent, United Kingdom",,http://www.tate.org.uk/art/artists/john-downton-2350
1028,"Doyle, John",Male,born 1928,1928,,,,http://www.tate.org.uk/art/artists/john-doyle-1028
